,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-06 03:00:00,-4.894415283203102,0.648038923740387,1.621910810470581,92654.6953125,0.005310939159244299,3.6102254390716553,0.002460501156747341,0.0,10180849.0,123137024.0,16821622.0,103353288.0
2020-01-06 04:00:00,-4.791204833984352,1.3543355464935303,2.3295958042144775,92684.0234375,0.005310939159244299,3.6102254390716553,0.002417545998468995,0.0,10180849.0,124156784.0,16821622.0,104296728.0
2020-01-06 05:00:00,-3.8406433105468523,3.08240008354187,1.996419072151184,92750.28125,0.005310939159244299,3.6102254390716553,0.002470288658514619,0.0,10180849.0,125184224.0,16821622.0,105233448.0
2020-01-06 06:00:00,-2.9063171386718523,7.5849480628967285,-5.081282138824463,93015.5234375,0.005310939159244299,3.614145278930664,0.0025850150268524885,0.0,10180849.0,126233984.0,16821622.0,106187928.0
2020-01-06 07:00:00,-3.9595703124999773,4.729936122894287,-2.139867067337036,93006.96875,0.005310939159244299,3.619563579559326,0.002689944114536047,0.0,10180849.0,127289264.0,16821622.0,107138568.0
2020-01-06 08:00:00,-3.8346313476562273,6.438698768615723,-3.3072898387908936,93135.0390625,0.005310939159244299,3.621157646179199,0.0023557909298688173,0.0,10180849.0,128334464.0,16821622.0,108046968.0
2020-01-06 09:00:00,-5.452947998046852,5.095510005950928,-3.1702897548675537,93210.4296875,0.005310939159244299,3.621157646179199,0.0019937511533498764,0.0,10180849.0,129349904.0,16821622.0,108785688.0
2020-01-06 10:00:00,-7.751593017578102,3.86783766746521,-0.905363142490387,93390.3671875,0.005310939159244299,3.621157646179199,0.0018137084553018212,0.0,10180849.0,130335104.0,16821622.0,109497528.0
2020-01-06 11:00:00,-8.821112060546852,3.387636661529541,0.40545201301574707,93484.15625,0.005310939159244299,3.621157646179199,0.0017296113073825836,0.0,10180849.0,131293424.0,16821622.0,110202168.0
2020-01-06 12:00:00,-9.285223388671852,2.938744306564331,-0.3340379297733307,93646.0859375,0.005310939159244299,3.621157646179199,0.0015881811268627644,0.0,10180849.0,132243344.0,16821622.0,110895288.0
2020-01-06 13:00:00,-10.114141845703102,3.3715877532958984,0.007496985606849194,93663.9609375,0.005310939159244299,3.621157646179199,0.0015225622337311506,0.0,10180849.0,133183184.0,16821622.0,111581448.0
2020-01-06 14:00:00,-9.821783447265602,3.5743253231048584,-0.3825938403606415,93760.2109375,0.005310939159244299,3.621157646179199,0.0015456377295777202,0.0,10180849.0,134121344.0,16821622.0,112280328.0
2020-01-06 15:00:00,-9.301062011718727,3.8865303993225098,-0.47160062193870544,93730.9296875,0.005310939159244299,3.621157646179199,0.0015862628351897001,0.0,10180849.0,135074768.0,16821622.0,113001768.0
2020-01-06 16:00:00,-9.371191406249977,4.625789165496826,-0.42996740341186523,93822.109375,0.005310939159244299,3.621157646179199,0.0016528831329196692,0.0,10180849.0,136025648.0,16821622.0,113693208.0
2020-01-06 17:00:00,-9.681127929687477,4.0771074295043945,0.46390825510025024,93799.5,0.005310939159244299,3.621157646179199,0.0016776833217591047,91.1810073852539,10292539.0,136977008.0,16998262.0,114373848.0
2020-01-06 18:00:00,-9.402136230468727,3.639570951461792,1.294312596321106,93809.2265625,0.005310939159244299,3.621157646179199,0.00169152591843158,182.87686157226562,10625779.0,137937008.0,17527102.0,115043688.0
2020-01-06 19:00:00,-7.558935546874977,4.997374057769775,1.2192692756652832,93711.8125,0.005310939159244299,3.621157646179199,0.0018035750836133957,239.18138122558594,11121319.0,138909008.0,18316102.0,115708968.0
2020-01-06 20:00:00,-5.757421874999977,6.918623447418213,0.7481693625450134,93697.40625,0.005310939159244299,3.621157646179199,0.0019312859512865543,250.42019653320312,11683789.0,139906448.0,19214422.0,116385528.0
2020-01-06 21:00:00,-5.254492187499977,6.141419887542725,0.05747322365641594,93691.2109375,0.005310939159244299,3.621157646179199,0.0021121096797287464,215.27850341796875,12208489.0,140916848.0,20055262.0,117068808.0
2020-01-06 22:00:00,-5.460119628906227,5.532433986663818,-0.8526234030723572,93725.21875,0.005310939159244299,3.621157646179199,0.0021111879032105207,139.45608520507812,12598129.0,141928688.0,20681542.0,117755208.0
2020-01-06 23:00:00,-6.833441162109352,4.010237216949463,-1.042896032333374,93708.6484375,0.005310939159244299,3.621157646179199,0.0019059166079387069,38.087669372558594,12779419.0,142923728.0,20973562.0,118438008.0
2020-01-07 00:00:00,-10.331396484374977,-2.1311562061309814,-0.9543832540512085,93781.484375,0.005310939159244299,3.621157646179199,0.0016962069785222411,0.0,12790519.0,143861648.0,20991442.0,119113608.0
2020-01-07 01:00:00,-13.307318115234352,-2.0820136070251465,-0.9391347765922546,93822.1796875,0.005310939159244299,3.621157646179199,0.0013549894792959094,0.0,12790519.0,144769808.0,20991442.0,119772408.0
2020-01-07 02:00:00,-14.753179931640602,-1.6819939613342285,-0.7019612193107605,93874.1328125,0.005310939159244299,3.621157646179199,0.0011333194561302662,0.0,12790519.0,145663088.0,20991442.0,120415848.0
2020-01-07 03:00:00,-14.378851318359352,-1.6107091903686523,-0.22525762021541595,93877.8203125,0.005310939159244299,3.621157646179199,0.0012346802977845073,0.0,12790519.0,146552048.0,20991442.0,121061688.0
