,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2]
2021-01-05 16:00:00,-9.942327880859352,3.6534762382507324,-1.476887583732605,93364.5625,0.0,3.0694992542266846,0.0017114914953708649,0.6123824715614319,9686143.0,113487136.0
2021-01-05 17:00:00,-10.163153076171852,3.1556766033172607,-0.6379431486129761,93450.921875,0.0,3.0694992542266846,0.0017064438434317708,90.84798431396484,9804413.0,114420496.0
2021-01-05 18:00:00,-9.120153808593727,2.777406692504883,0.5034345388412476,93528.875,0.0,3.0694992542266846,0.0018520914018154144,179.4346466064453,10167793.0,115374016.0
2021-01-05 19:00:00,-7.106970214843727,2.7287189960479736,1.1143280267715454,93496.953125,0.0,3.0694992542266846,0.0021870811469852924,232.96365356445312,10711463.0,116361216.0
2021-01-05 20:00:00,-6.006597900390602,2.1816959381103516,0.8879048824310303,93597.0,0.0,3.0694992542266846,0.0023847059346735477,241.83763122558594,11329693.0,117371816.0
2021-01-05 21:00:00,-6.048010253906227,1.099827527999878,2.452261447906494,93701.0234375,0.0,3.0694992542266846,0.0024104572366923094,205.5879364013672,11905823.0,118383456.0
2021-01-05 22:00:00,-6.385137939453102,1.3069660663604736,3.335160970687866,93699.5546875,0.0,3.0694992542266846,0.00228842138312757,129.39129638671875,12331333.0,119384416.0
2021-01-05 23:00:00,-6.508612060546852,1.9447391033172607,2.9712915420532227,93681.4765625,0.0,3.0694992542266846,0.002297277795150876,30.34319496154785,12524658.0,120356536.0
2021-01-06 00:00:00,-7.326910400390602,0.9405051469802856,3.1678290367126465,93644.2421875,0.0,3.0694992542266846,0.0023294587153941393,0.0,12535233.0,121279816.0
2021-01-06 01:00:00,-7.492071533203102,-1.0029327869415283,3.7304587364196777,93573.71875,0.0,3.0694992542266846,0.002053690841421485,0.0,12535233.0,122219576.0
2021-01-06 02:00:00,-7.336370849609352,-1.4460699558258057,3.5859930515289307,93485.875,0.0,3.0694992542266846,0.001926693832501769,0.0,12535233.0,123188296.0
2021-01-06 03:00:00,-7.343786621093727,-0.6715508699417114,4.134232521057129,93444.578125,0.0,3.0694992542266846,0.0019321191357448697,0.0,12535233.0,124163736.0
2021-01-06 04:00:00,-7.368688964843727,-0.3375920355319977,4.888562202453613,93377.765625,0.0,3.0694992542266846,0.0019212965853512287,0.0,12535233.0,125136616.0
2021-01-06 05:00:00,-7.512274169921852,-0.7458781599998474,5.113286018371582,93320.375,0.0,3.0694992542266846,0.0019050119444727898,0.0,12535233.0,126114656.0
2021-01-06 06:00:00,-6.704870605468727,-0.8590185642242432,5.684579849243164,93259.609375,0.0,3.0694992542266846,0.001979856053367257,0.0,12535233.0,127093336.0
2021-01-06 07:00:00,-7.083074951171852,-1.0045654773712158,5.530474662780762,93143.5546875,0.0,3.0694992542266846,0.0019420552998781204,0.0,12535233.0,128081736.0
2021-01-06 08:00:00,-7.181585693359352,-1.39820396900177,5.404547691345215,93056.3046875,0.0,3.0694992542266846,0.0019163881661370397,0.0,12535233.0,129064656.0
2021-01-06 09:00:00,-5.683691406249977,-1.3804715871810913,6.078582763671875,93040.4375,0.0,3.0694992542266846,0.0021448975894600153,0.0,12535233.0,130060136.0
2021-01-06 10:00:00,-5.160803222656227,0.07626385986804962,6.015716552734375,92998.6484375,0.0,3.0694992542266846,0.0022385537158697844,0.0,12535233.0,131092576.0
